Year,Year_number,Site_Code,Orchard_Block,Alleyway_Treatment,Section_code,Tree_code,Distance,Blossoms,Fruit_set,Percentage_fuit_set
Year_1,2017,Site_2,Orchard_Block_3,AMWS,4,1,61.8,,10,
Year_1,2017,Site_2,Orchard_Block_3,AMWS,4,2,71.3,,9,
Year_1,2017,Site_2,Orchard_Block_4,CS,1,1,4.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,CS,1,2,14.3,,7,
Year_1,2017,Site_2,Orchard_Block_4,CS,2,1,23.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,CS,2,2,33.3,,8,
Year_1,2017,Site_2,Orchard_Block_4,CS,3,1,42.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,CS,3,2,52.3,,8,
Year_1,2017,Site_2,Orchard_Block_4,CS,4,1,61.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,CS,4,2,71.3,,10,
Year_1,2017,Site_2,Orchard_Block_4,SWS,1,1,4.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,SWS,1,2,14.3,,8,
Year_1,2017,Site_2,Orchard_Block_4,SWS,2,1,23.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,SWS,2,2,33.3,,8,
Year_1,2017,Site_2,Orchard_Block_4,SWS,3,1,42.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,SWS,3,2,52.3,,9,
Year_1,2017,Site_2,Orchard_Block_4,SWS,4,1,61.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,SWS,4,2,71.3,,7,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,1,1,4.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,1,2,14.3,,7,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,2,1,23.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,2,2,33.3,,8,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,3,1,42.8,,9,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,3,2,52.3,,10,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,4,1,61.8,,10,
Year_1,2017,Site_2,Orchard_Block_4,AMWS,4,2,71.3,,9,
Year_1,2017,Site_3,Orchard_Block_5,CS,1,1,4.8,,10,
Year_1,2017,Site_3,Orchard_Block_5,CS,1,2,14.3,,9,
Year_1,2017,Site_3,Orchard_Block_5,CS,2,1,23.8,,9,
Year_1,2017,Site_3,Orchard_Block_5,CS,2,2,33.3,,10,
Year_1,2017,Site_3,Orchard_Block_5,CS,3,1,42.8,,10,
Year_1,2017,Site_3,Orchard_Block_5,CS,3,2,52.3,,8,
Year_1,2017,Site_3,Orchard_Block_5,CS,4,1,61.8,,10,
Year_1,2017,Site_3,Orchard_Block_5,CS,4,2,71.3,,10,
Year_1,2017,Site_3,Orchard_Block_5,SWS,1,1,4.8,,10,
Year_1,2017,Site_3,Orchard_Block_5,SWS,1,2,14.3,,10,
Year_1,2017,Site_3,Orchard_Block_5,SWS,2,1,23.8,,8,
Year_1,2017,Site_3,Orchard_Block_5,SWS,2,2,33.3,,8,
Year_1,2017,Site_3,Orchard_Block_5,SWS,3,1,42.8,,10,
Year_1,2017,Site_3,Orchard_Block_5,SWS,3,2,52.3,,10,
Year_1,2017,Site_3,Orchard_Block_5,SWS,4,1,61.8,,10,
